Technology,Primary_Vendor,Estimated_Accounts,Estimated_Contacts,Geography,Source_Type,Confidence_Score,Last_Verified,Research_Batch
HubSpot CRM,HubSpot,216000,1400000,Global,HubSpot Public Statements,High,2026-05-12,2
Zoho CRM,Zoho,250000,1100000,Global,CRM Market Estimate,Medium,2026-05-12,2
Pipedrive,Pipedrive,100000,380000,Global,Public Customer Claims,Medium,2026-05-12,2
SugarCRM,SugarCRM,7000,45000,Global,CRM Market Estimate,Medium,2026-05-12,2
Freshsales,Freshworks,65000,220000,Global,CRM Market Estimate,Medium,2026-05-12,2
Insightly,Insightly,25000,85000,Global,SMB CRM Estimate,Low,2026-05-12,2
Nimble CRM,Nimble,18000,55000,Global,SMB CRM Estimate,Low,2026-05-12,2
Creatio CRM,Creatio,7000,42000,Global,CRM Market Estimate,Medium,2026-05-12,2
Copper CRM,Copper,30000,90000,Global,Google Workspace CRM Estimate,Low,2026-05-12,2
Keap,Keap,125000,320000,Global,Public SMB Customer Claims,Medium,2026-05-12,2
Zendesk Sell,Zendesk,40000,180000,Global,CRM Market Estimate,Medium,2026-05-12,2
Marketo,Adobe,5000,110000,Global,Marketing Automation Estimate,Medium,2026-05-12,2
Pardot,Salesforce,35000,250000,Global,Marketing Automation Estimate,Medium,2026-05-12,2
Eloqua,Oracle,7000,90000,Global,Enterprise Marketing Estimate,Medium,2026-05-12,2
Mailchimp,Intuit,13000000,20000000,Global,Public User Estimates,Medium,2026-05-12,2
ActiveCampaign,ActiveCampaign,185000,850000,Global,Public Customer Statements,Medium,2026-05-12,2
Klaviyo,Klaviyo,157000,620000,Global,Public Customer Statements,High,2026-05-12,2
Constant Contact,Constant Contact,600000,2200000,Global,Email Marketing Estimate,Medium,2026-05-12,2
Brevo,Brevo,500000,1600000,Global,Public Customer Claims,Medium,2026-05-12,2
Campaign Monitor,CM Group,250000,900000,Global,Email Marketing Estimate,Low,2026-05-12,2
Drift,Salesloft,50000,210000,Global,Conversational Marketing Estimate,Medium,2026-05-12,2
Intercom,Intercom,25000,170000,Global,Customer Messaging Estimate,Medium,2026-05-12,2
Outreach,Outreach,6000,65000,Global,Sales Engagement Estimate,Medium,2026-05-12,2
Salesloft,Salesloft,5000,58000,Global,Sales Engagement Estimate,Medium,2026-05-12,2
Apollo.io,Apollo,500000,3000000,Global,Prospecting Platform Estimate,Medium,2026-05-12,2
