Technology,Primary_Vendor,Estimated_Accounts,Estimated_Contacts,Geography,Source_Type,Confidence_Score,Last_Verified,Research_Batch
Workday HCM,Workday,11000,180000,Global,Public Customer Statements,High,2026-05-12,5
ADP Workforce Now,ADP,140000,950000,Global,HR Market Estimate,Medium,2026-05-12,5
UKG Pro,UKG,70000,520000,Global,Public Customer Statements,Medium,2026-05-12,5
BambooHR,BambooHR,33000,210000,Global,Public Customer Statements,Medium,2026-05-12,5
SAP SuccessFactors,SAP,12000,220000,Global,Public Customer Statements,High,2026-05-12,5
Oracle HCM Cloud,Oracle,14000,180000,Global,Public Customer Statements,High,2026-05-12,5
Ceridian Dayforce,Dayforce,6500,85000,Global,HR Platform Estimate,Medium,2026-05-12,5
Paylocity,Paylocity,39000,260000,Global,Public Customer Statements,Medium,2026-05-12,5
Paycom,Paycom,37000,240000,Global,Public Customer Statements,Medium,2026-05-12,5
Rippling,Rippling,15000,110000,Global,HR SaaS Estimate,Medium,2026-05-12,5
Gusto,Gusto,300000,950000,Global,SMB Payroll Estimate,Medium,2026-05-12,5
Greenhouse,Greenhouse,7500,60000,Global,Recruiting Platform Estimate,Medium,2026-05-12,5
Lever,Employ,5000,42000,Global,ATS Market Estimate,Low,2026-05-12,5
iCIMS,iCIMS,4000,38000,Global,Recruiting Platform Estimate,Medium,2026-05-12,5
SmartRecruiters,SmartRecruiters,4500,35000,Global,ATS Market Estimate,Medium,2026-05-12,5
Cornerstone OnDemand,Cornerstone,7000,85000,Global,Learning Platform Estimate,Medium,2026-05-12,5
LinkedIn Recruiter,LinkedIn,500000,2800000,Global,Recruiting Tool Estimate,Low,2026-05-12,5
ServiceNow HRSD,ServiceNow,9000,110000,Global,Enterprise HR Workflow Estimate,Medium,2026-05-12,5
PeopleSoft HCM,Oracle,25000,160000,Global,Legacy HCM Estimate,Medium,2026-05-12,5
Kronos Workforce,UKG,80000,520000,Global,Workforce Management Estimate,Medium,2026-05-12,5
Deel,Deel,35000,120000,Global,Global Payroll Estimate,Medium,2026-05-12,5
Remote.com,Remote,18000,65000,Global,Global Employment Estimate,Low,2026-05-12,5
Zenefits,TriNet,11000,58000,Global,SMB HR Estimate,Low,2026-05-12,5
Namely,Namely,1400,12000,Global,Mid-market HR Estimate,Low,2026-05-12,5
Jobvite,Employ,2500,18000,Global,Recruiting Platform Estimate,Low,2026-05-12,5
